epoch,lr,train_loss,train_loss_r2p,train_loss_p2r,val_R1_r2p,val_R5_r2p,val_R10_r2p,val_R50_r2p,val_MedR_r2p,val_R1_p2r,val_R5_p2r,val_R10_p2r,val_R50_p2r,val_MedR_p2r,val_R5_mean,std_rna,std_prot,intra_cos_rna,intra_cos_prot,pos_cos
1,9.990133642141359e-05,4.279760336836112,4.2921152489014185,4.2674054152181435,0.0010572900146510187,0.004546347062999381,0.008171341398945731,0.0315223465796668,2755.0,0.0009364568701194738,0.003745827480477895,0.006842176809098736,0.027610373525458032,3145.0,0.004146087271738638,0.055364057421684265,0.054714955389499664,0.18733179569244385,0.20714685320854187,0.4501486122608185
2,9.96057350657239e-05,3.9332859006668373,3.9389304668955094,3.927641339214497,0.0011328107299832344,0.005422387360853082,0.009878109565453805,0.03632546407479571,2521.0,0.0010270817285181325,0.004319784917002733,0.0076426963916202215,0.031295784433670155,2873.0,0.0048710861389279075,0.05514492467045784,0.05480492487549782,0.19283826649188995,0.20461109280586243,0.47768375277519226
3,9.911436253643445e-05,3.8361662055096764,3.8405974006812045,3.831735014318425,0.0012687480175812226,0.005905719938979262,0.011010920295437038,0.03819837781503466,2375.0,0.0011177065869167912,0.004682284350597369,0.008503632546407479,0.034150467473227905,2739.0,0.005294002144788316,0.05536983907222748,0.05461753532290459,0.1871831715106964,0.21009746193885803,0.4878595769405365
4,9.842915805643155e-05,3.7750274733032327,3.778817869785035,3.7712370672687663,0.0013593728759798813,0.006343740087906113,0.011464044587430331,0.04017702055673871,2316.0,0.0012536438745147794,0.005180721071789992,0.009304152128928966,0.03564577763680578,2591.0,0.005762230579848052,0.05513759329915047,0.05471626669168472,0.19505339860916138,0.20699718594551086,0.498891681432724
5,9.755282581475769e-05,3.7334156661280407,3.7366812396328117,3.730150098195657,0.0016161433081094145,0.006842176809098736,0.012340084885284033,0.04198951772471189,2213.0,0.0013895811621127676,0.005392179074720196,0.009742172277855815,0.03673327593758968,2534.0,0.006117177941909466,0.055567819625139236,0.05455915257334709,0.18423213064670563,0.21162915229797363,0.49839210510253906
6,9.648882429441257e-05,3.6968505255168984,3.6996294934681937,3.6940715559734922,0.00169166402344163,0.006932801667497395,0.012340084885284033,0.04369628589121996,2153.0,0.0014046853051792106,0.00575467850831483,0.010014046853051793,0.03751869137704472,2492.0,0.006343740087906113,0.05553436651825905,0.05428263172507286,0.18599995970726013,0.2199622243642807,0.5044829249382019
7,9.524135262330098e-05,3.6685725591815572,3.6709569165225022,3.6661881994524466,0.0015255184497107556,0.006902593381364508,0.01252133460208135,0.044330659900010574,2121.0,0.001434893591312097,0.005709366079115501,0.010119775854516894,0.03833431510263265,2437.0,0.0063059797302400045,0.055596791207790375,0.05443253740668297,0.1843527853488922,0.21571967005729675,0.5026525259017944
8,9.381533400219318e-05,3.644371418005636,3.64663136542739,3.6421114725740207,0.0016010391650429713,0.007431238388690017,0.013125500324739076,0.04523690848399716,2108.0,0.0014651018774449831,0.0059963447973779204,0.010588004289576632,0.03936139683115079,2402.0,0.006713791593033969,0.05567152053117752,0.05442465841770172,0.1832486242055893,0.21644091606140137,0.5061973929405212
9,9.221639627510076e-05,3.6210891786521184,3.6230781707222355,3.619100200910998,0.00144999773437854,0.007280196958025586,0.013261437612337064,0.04555409548839247,2078.0,0.0014197894482456538,0.0059661365112450345,0.010708837434108175,0.039331188545017895,2380.0,0.006623166734635311,0.05603661388158798,0.054506123065948486,0.17279395461082458,0.21420854330062866,0.5009967684745789
10,9.045084971874738e-05,3.602743267017931,3.6047241385273625,3.600762390732168,0.0017369764526409593,0.0078088419653510955,0.013790082619662573,0.04717023879650188,2009.0,0.0015104143066443124,0.006177594514175239,0.010905191293971937,0.03998066669687495,2346.0,0.006993218239763167,0.05612730234861374,0.05460811406373978,0.16962377727031708,0.21169376373291016,0.5014426112174988
11,8.852566213878947e-05,3.584478654925135,3.5863292193372978,3.5826280853386114,0.0018729137402389475,0.007431238388690017,0.01377497847659613,0.04741190508556497,1997.0,0.0016463515942423007,0.006222906943374568,0.011041128581569925,0.040675457277931336,2309.0,0.006827072666032293,0.05638361722230911,0.05464719235897064,0.1624418944120407,0.21090953052043915,0.5076689124107361
12,8.644843137107059e-05,3.568433276798968,3.5700112268801325,3.566855319951333,0.0017671847387738457,0.007476550817889347,0.013472895615267268,0.047865029377558266,1980.0,0.0015406225927771988,0.006313531801773227,0.011071336867702812,0.04091712356699442,2292.0,0.006895041309831287,0.05603991448879242,0.054263655096292496,0.17385947704315186,0.22200363874435425,0.5081135034561157
13,8.422735529643444e-05,3.5558510825709626,3.557644319852724,3.5540578632004474,0.00169166402344163,0.007461446674822904,0.013835395048861903,0.047985862522089806,1969.0,0.0016614557373087438,0.0062380110864410105,0.011177065869167913,0.04168743486338303,2270.0,0.006849728880631957,0.05645214021205902,0.054525695741176605,0.16201502084732056,0.21532128751277924,0.5057544708251953
14,8.18711994874345e-05,3.5403372103065402,3.54177106083534,3.538903366544211,0.001903122026371834,0.00773332125001888,0.013714561904330357,0.04949627682873412,1958.0,0.0017067681665080732,0.006585406376969203,0.01140362801516456,0.042321808872173634,2255.0,0.007159363813494041,0.05607376992702484,0.05466059222817421,0.1728498488664627,0.21152514219284058,0.5065640211105347
15,7.938926261462366e-05,3.5274200722052775,3.528797146473982,3.5260429951503798,0.0017218723095745164,0.008080716540547072,0.01430362348392164,0.05022127569592339,1889.0,0.001570830878910085,0.006645822949234975,0.012158835168486716,0.04348482788828976,2183.0,0.007363269744891024,0.0563616082072258,0.05465575307607651,0.16420799493789673,0.211678609251976,0.5152752995491028
16,7.679133974894983e-05,3.517379665215545,3.518940578119982,3.515818754699274,0.0017067681665080732,0.007990091682148414,0.014394248342320299,0.050387421269654266,1882.0,0.0017218723095745164,0.006736447807633634,0.012128626882353829,0.04356034860362197,2181.0,0.007363269744891024,0.05664131045341492,0.054846614599227905,0.1568935066461563,0.2064940631389618,0.5127637386322021
17,7.408768370508576e-05,3.506434644402964,3.50774850112966,3.5051208000151264,0.001812497167973175,0.008201549685078618,0.014439560771519628,0.05007023426525896,1888.0,0.0015255184497107556,0.006963009953630281,0.012309876599151148,0.04374159832041929,2170.0,0.00758227981935445,0.056484028697013855,0.05468133091926575,0.16191093623638153,0.21128185093402863,0.5132572054862976
18,7.128896457825364e-05,3.495651060830373,3.4969723976912204,3.4943297199892482,0.0018578095971725044,0.008095820683613515,0.01434893591312097,0.05034210884045494,1855.0,0.0016312474511758575,0.006842176809098736,0.01237029317141692,0.04430045161387769,2149.0,0.0074689987463561255,0.05644790828227997,0.05478048697113991,0.16337068378925323,0.2086438089609146,0.5171782374382019
19,6.840622763423391e-05,3.4869368112146955,3.4884268696200667,3.485446747634964,0.0020088510278369357,0.008352591115743048,0.01478695606204782,0.05155044028577039,1864.0,0.0016614557373087438,0.007083843098161826,0.012400501457549807,0.04463274276133943,2134.0,0.007718217106952438,0.056956157088279724,0.05491643771529198,0.14910444617271423,0.2048840969800949,0.5060664415359497
20,6.545084971874738e-05,3.4775316842609336,3.4790307898354254,3.4760325890351615,0.001903122026371834,0.008277070400410832,0.014107269624057879,0.0514145029981724,1864.0,0.0016010391650429713,0.0073708218164242455,0.012264564169951819,0.04516138776866494,2116.0,0.007823946108417539,0.05647808313369751,0.05497145652770996,0.16247491538524628,0.20353634655475616,0.5126908421516418
21,6.243449435824276e-05,3.4703644149888535,3.471607033119775,3.4691218040224308,0.0019484344555711632,0.008246862114277947,0.01478695606204782,0.052381168154424756,1830.0,0.0017822888818402889,0.007189572099626927,0.012778105034210884,0.045463470629993806,2079.0,0.007718217106952438,0.0569751039147377,0.05503470450639725,0.14892517030239105,0.20174925029277802,0.5141094923019409
