epoch,train_loss,val_R5_mean,pos_cos,std_rna,lr
1,6.160882015617526,0.009,0.31218376755714417,0.045936353504657745,9.990133642141359e-05
2,5.6723436141500665,0.011666666666666667,0.39284297823905945,0.04858221113681793,9.96057350657239e-05
3,5.474686286887344,0.0135,0.42262065410614014,0.05068155378103256,9.911436253643445e-05
4,5.358129287252621,0.013,0.44552356004714966,0.05187762528657913,9.842915805643155e-05
5,5.277775779062388,0.014833333333333334,0.4637913405895233,0.05252073332667351,9.755282581475769e-05
6,5.220396708469002,0.014666666666666666,0.47504284977912903,0.053049951791763306,9.648882429441257e-05
7,5.177513842680017,0.01583333333333333,0.4924423098564148,0.05322502180933952,9.524135262330098e-05
8,5.143180511435684,0.016666666666666666,0.5017400979995728,0.05330999195575714,9.381533400219318e-05
9,5.1114466628249815,0.017,0.506003201007843,0.05344226211309433,9.221639627510076e-05
10,5.088532078022859,0.016166666666666666,0.5123166441917419,0.05373247712850571,9.045084971874738e-05
11,5.064575900836867,0.0175,0.510486900806427,0.053757887333631516,8.852566213878947e-05
12,5.046585287366595,0.0165,0.5158795118331909,0.053778551518917084,8.644843137107059e-05
13,5.027016381828153,0.018166666666666664,0.5204790234565735,0.05397099629044533,8.422735529643444e-05
14,5.0129555926031,0.018833333333333334,0.5227627754211426,0.05393807590007782,8.18711994874345e-05
15,4.998313125298948,0.019166666666666665,0.5203891396522522,0.053951434791088104,7.938926261462366e-05
16,4.985808601184767,0.019833333333333335,0.5248867273330688,0.05393942445516586,7.679133974894983e-05
17,4.9758307301268285,0.02,0.5270190238952637,0.0540735200047493,7.408768370508576e-05
18,4.966266369333073,0.020999999999999998,0.5256612300872803,0.054177507758140564,7.128896457825364e-05
19,4.954458372933524,0.020666666666666667,0.5226895213127136,0.05423750728368759,6.840622763423391e-05
20,4.94834684839054,0.021333333333333333,0.5225401520729065,0.05425320938229561,6.545084971874738e-05
21,4.938120686278051,0.021666666666666667,0.523675799369812,0.05429508537054062,6.243449435824276e-05
22,4.92825832172316,0.022833333333333334,0.5234365463256836,0.05430595576763153,5.9369065729286245e-05
23,4.9210288086716005,0.0235,0.524673581123352,0.05430354177951813,5.6266661678215216e-05
24,4.915927560961976,0.02316666666666667,0.5249879360198975,0.05437925457954407,5.313952597646568e-05
25,4.911005102858251,0.024333333333333332,0.524802565574646,0.05435849726200104,5e-05
26,4.906222659714368,0.024,0.5247752666473389,0.05443067103624344,4.6860474023534335e-05
27,4.903752424279038,0.025166666666666667,0.5246381759643555,0.054384779185056686,4.373333832178478e-05
28,4.894141099890884,0.024333333333333332,0.5240251421928406,0.054492153227329254,4.063093427071376e-05
29,4.892333084223222,0.02383333333333333,0.525374174118042,0.05447593331336975,3.756550564175727e-05
30,4.886202748940915,0.024333333333333332,0.525950014591217,0.05447385460138321,3.4549150281252636e-05
31,4.8834284665633225,0.025333333333333333,0.5246595740318298,0.05441031605005264,3.1593772365766105e-05
32,4.880683592387608,0.024833333333333332,0.5254640579223633,0.05447256565093994,2.8711035421746367e-05
33,4.878129389821266,0.025,0.525884747505188,0.05454195290803909,2.591231629491423e-05
34,4.873474495751517,0.0245,0.5256859660148621,0.054502494633197784,2.3208660251050158e-05
35,4.872728955988982,0.024,0.5246284008026123,0.054543428122997284,2.061073738537635e-05
36,4.871796544717283,0.025166666666666667,0.5244882106781006,0.05450596660375595,1.8128800512565513e-05
37,4.8684395527353095,0.025,0.5242641568183899,0.05454496294260025,1.5772644703565565e-05
38,4.866427183151245,0.024666666666666667,0.5245608687400818,0.054550595581531525,1.3551568628929434e-05
39,4.867027438416773,0.025,0.5245004296302795,0.05452626943588257,1.1474337861210543e-05
40,4.863049293050961,0.025,0.5248230695724487,0.054539330303668976,9.549150281252633e-06
41,4.8619472737215,0.025333333333333333,0.524459958076477,0.05454137921333313,7.783603724899257e-06
42,4.865420331760329,0.025333333333333333,0.5239643454551697,0.054546743631362915,6.184665997806832e-06
43,4.862222029238331,0.025333333333333333,0.5247259140014648,0.05456000566482544,4.758647376699032e-06
