epoch,train_loss,val_R5_mean,pos_cos,std_rna,lr
1,5.247515462981868,0.011666666666666665,0.3824283182621002,0.048114702105522156,9.990133642141359e-05
2,4.775594919466125,0.012333333333333333,0.4322263300418854,0.051364775747060776,9.96057350657239e-05
3,4.616264711176683,0.014333333333333333,0.463999480009079,0.052607789635658264,9.911436253643445e-05
4,4.525670361397835,0.014333333333333333,0.48748812079429626,0.05304357409477234,9.842915805643155e-05
5,4.465638731941959,0.0155,0.5030133128166199,0.05329839140176773,9.755282581475769e-05
6,4.424350566670374,0.0155,0.513141930103302,0.0534651055932045,9.648882429441257e-05
7,4.3853267413105455,0.016,0.5167717337608337,0.05363202095031738,9.524135262330098e-05
8,4.3561281359135196,0.017333333333333333,0.5197219252586365,0.053803615272045135,9.381533400219318e-05
9,4.333225693194394,0.019000000000000003,0.5256347060203552,0.05378132313489914,9.221639627510076e-05
10,4.313649700377798,0.020833333333333336,0.5271477103233337,0.05402717739343643,9.045084971874738e-05
11,4.29178814718566,0.020999999999999998,0.5249744653701782,0.054174236953258514,8.852566213878947e-05
12,4.278885490398117,0.021166666666666667,0.5266518592834473,0.054011259227991104,8.644843137107059e-05
13,4.261543685409623,0.021833333333333333,0.5282113552093506,0.05414445698261261,8.422735529643444e-05
14,4.2499914193516455,0.022,0.5280182361602783,0.05415200814604759,8.18711994874345e-05
15,4.234847044581689,0.02383333333333333,0.5265110731124878,0.05432064086198807,7.938926261462366e-05
16,4.221736293153715,0.02333333333333333,0.5285605192184448,0.05420403927564621,7.679133974894983e-05
17,4.214897867386716,0.02383333333333333,0.5271227955818176,0.054406195878982544,7.408768370508576e-05
18,4.20379655373278,0.0245,0.5274997353553772,0.054454296827316284,7.128896457825364e-05
19,4.1936733129665935,0.0235,0.5287161469459534,0.054451316595077515,6.840622763423391e-05
20,4.187007182745764,0.024666666666666667,0.5313994288444519,0.054382286965847015,6.545084971874738e-05
21,4.1764096076113315,0.024666666666666667,0.5302032828330994,0.05455739423632622,6.243449435824276e-05
22,4.170918653459113,0.024666666666666667,0.5306869149208069,0.05444367229938507,5.9369065729286245e-05
23,4.163696768320151,0.025166666666666664,0.5303913354873657,0.054370082914829254,5.6266661678215216e-05
24,4.155377717187562,0.024666666666666667,0.5292485952377319,0.05447684973478317,5.313952597646568e-05
25,4.150308262878263,0.0245,0.5263442397117615,0.05461050197482109,5e-05
26,4.146677527935977,0.024666666666666667,0.5258744955062866,0.05462317913770676,4.6860474023534335e-05
27,4.13985628767062,0.024166666666666666,0.5271797180175781,0.05457545816898346,4.373333832178478e-05
28,4.1361631282089935,0.0245,0.5255271196365356,0.05465422943234444,4.063093427071376e-05
29,4.133483930287627,0.02383333333333333,0.5271250605583191,0.05457214266061783,3.756550564175727e-05
30,4.130492856659865,0.024833333333333332,0.5277061462402344,0.05471480265259743,3.4549150281252636e-05
31,4.125882435571119,0.025,0.5273289084434509,0.054576288908720016,3.1593772365766105e-05
32,4.122818607969332,0.024666666666666667,0.5255908370018005,0.05460548400878906,2.8711035421746367e-05
33,4.1152202078533655,0.025,0.5257875323295593,0.05466098338365555,2.591231629491423e-05
34,4.117149897638312,0.025333333333333333,0.526351809501648,0.054620321840047836,2.3208660251050158e-05
35,4.113835504212355,0.025833333333333333,0.5235623121261597,0.05469614639878273,2.061073738537635e-05
36,4.11273310269196,0.025833333333333333,0.5254454016685486,0.05468064546585083,1.8128800512565513e-05
37,4.109453985533738,0.026666666666666665,0.5243620872497559,0.05467814952135086,1.5772644703565565e-05
38,4.109435847568028,0.025833333333333333,0.5234321355819702,0.05472535640001297,1.3551568628929434e-05
39,4.1061783962443394,0.025833333333333333,0.5239216089248657,0.05475664138793945,1.1474337861210543e-05
40,4.10532992019266,0.026333333333333334,0.5241084098815918,0.054707419127225876,9.549150281252633e-06
41,4.101847807162909,0.026000000000000002,0.5231928825378418,0.05475517362356186,7.783603724899257e-06
42,4.102448346046022,0.026166666666666668,0.5245813727378845,0.054702360183000565,6.184665997806832e-06
43,4.103613031697153,0.026166666666666668,0.5236832499504089,0.054718948900699615,4.758647376699032e-06
44,4.1008255191260785,0.026166666666666664,0.5239228010177612,0.054729707539081573,3.511175705587433e-06
45,4.102224932104198,0.026333333333333334,0.5238881707191467,0.05471672862768173,2.4471741852423237e-06
46,4.101749662215335,0.026000000000000002,0.5238668322563171,0.054721083492040634,1.5708419435684462e-06
47,4.101549288948175,0.025833333333333333,0.5235849618911743,0.05472438782453537,8.856374635655695e-07
48,4.098209229822691,0.026166666666666668,0.5235815644264221,0.05472484603524208,3.9426493427611177e-07
49,4.100741813630622,0.026166666666666668,0.5236017107963562,0.05472235381603241,9.866357858642205e-08
