epoch,train_loss,val_R5_mean,pos_cos,std_rna,lr
1,5.34996754747962,0.010833333333333334,0.3363465666770935,0.04725060611963272,9.96057350657239e-05
2,5.001761116957302,0.012,0.3669760227203369,0.049956247210502625,9.842915805643155e-05
3,4.892446089517041,0.013666666666666667,0.38130947947502136,0.05117710679769516,9.648882429441257e-05
4,4.828617846300154,0.01583333333333333,0.3998343050479889,0.051687076687812805,9.381533400219318e-05
5,4.783017550628197,0.015166666666666667,0.40607956051826477,0.05217035859823227,9.045084971874738e-05
6,4.745377530906406,0.0175,0.41672974824905396,0.05232740193605423,8.644843137107059e-05
7,4.71885240380534,0.0155,0.4225904047489166,0.052505575120449066,8.18711994874345e-05
8,4.695771631250527,0.013833333333333333,0.4261462390422821,0.05267596244812012,7.679133974894983e-05
9,4.677580601067713,0.014166666666666668,0.43137454986572266,0.052945785224437714,7.128896457825364e-05
10,4.662881718069164,0.014499999999999999,0.43331852555274963,0.05306720733642578,6.545084971874738e-05
11,4.645744163977918,0.014166666666666668,0.4350769817829132,0.05308816209435463,5.9369065729286245e-05
12,4.635818065120484,0.015333333333333332,0.4334622919559479,0.053255949169397354,5.313952597646568e-05
