epoch,train_loss,val_R5_mean,pos_cos,std_rna,lr
1,5.354302678561967,0.011833333333333333,0.27489933371543884,0.03456028178334236,9.96057350657239e-05
2,5.116091224307409,0.0125,0.2890787422657013,0.03588036820292473,9.842915805643155e-05
3,5.045030508694147,0.013833333333333333,0.2898406684398651,0.03747624158859253,9.648882429441257e-05
4,4.999264729838936,0.013833333333333333,0.2864501476287842,0.03825536370277405,9.381533400219318e-05
5,4.967400671046644,0.013166666666666667,0.2924230098724365,0.038657523691654205,9.045084971874738e-05
6,4.942153268346006,0.012833333333333334,0.28872150182724,0.03913276642560959,8.644843137107059e-05
7,4.923651141196937,0.014333333333333333,0.292228102684021,0.03965414687991142,8.18711994874345e-05
8,4.905670673898942,0.014499999999999999,0.29310572147369385,0.039715394377708435,7.679133974894983e-05
9,4.891796908115903,0.014,0.2952822744846344,0.04016488790512085,7.128896457825364e-05
10,4.878873919007774,0.013833333333333333,0.2963966429233551,0.04046469181776047,6.545084971874738e-05
11,4.870632212229682,0.013333333333333332,0.2971482276916504,0.0406988188624382,5.9369065729286245e-05
12,4.862560078775346,0.014833333333333334,0.2951754033565521,0.04065915569663048,5.313952597646568e-05
13,4.85373062522264,0.015,0.2992158532142639,0.04072651267051697,4.6860474023534335e-05
14,4.845961991853029,0.014333333333333333,0.298145592212677,0.04103221744298935,4.063093427071376e-05
15,4.841639807705887,0.015166666666666665,0.29942139983177185,0.041108205914497375,3.4549150281252636e-05
16,4.836901328798526,0.014666666666666666,0.3004642426967621,0.04087774455547333,2.8711035421746367e-05
17,4.832850214236965,0.014833333333333334,0.3001769483089447,0.04127677530050278,2.3208660251050158e-05
18,4.830016881277246,0.014833333333333334,0.30159980058670044,0.041180651634931564,1.8128800512565513e-05
19,4.827190145228263,0.014333333333333333,0.30213072896003723,0.041193995624780655,1.3551568628929434e-05
20,4.824344929550247,0.014833333333333334,0.30222445726394653,0.041273266077041626,9.549150281252633e-06
21,4.8233621068709285,0.014833333333333334,0.3017069101333618,0.04127659648656845,6.184665997806832e-06
