epoch,train_loss,val_R5_mean,pos_cos,std_rna,lr
1,5.077291163177682,0.012125,0.3067813515663147,0.04349856078624725,9.96057350657239e-05
2,4.751632914190161,0.012375,0.32624247670173645,0.04487113282084465,9.842915805643155e-05
3,4.660839966878089,0.011875,0.3332067131996155,0.045558977872133255,9.648882429441257e-05
4,4.604077665240433,0.01275,0.34611114859580994,0.04591430723667145,9.381533400219318e-05
5,4.562366741065548,0.013625,0.35915812849998474,0.04625098407268524,9.045084971874738e-05
6,4.5309117405746635,0.01525,0.36335131525993347,0.046488359570503235,8.644843137107059e-05
7,4.505278491614903,0.01475,0.3662298023700714,0.04714687168598175,8.18711994874345e-05
8,4.482205870758784,0.015875,0.3722183108329773,0.047269102185964584,7.679133974894983e-05
9,4.465375869755763,0.01625,0.37828052043914795,0.0474441833794117,7.128896457825364e-05
10,4.448170947310617,0.016875,0.38314688205718994,0.04758301377296448,6.545084971874738e-05
11,4.435991382359561,0.01675,0.38411587476730347,0.047905053943395615,5.9369065729286245e-05
12,4.424186492953426,0.0165,0.3840097188949585,0.04806589335203171,5.313952597646568e-05
13,4.414957417448611,0.0175,0.385722279548645,0.04832562059164047,4.6860474023534335e-05
14,4.405451805109959,0.017750000000000002,0.38364264369010925,0.04814129322767258,4.063093427071376e-05
15,4.398553529976303,0.017375,0.38885343074798584,0.048421747982501984,3.4549150281252636e-05
16,4.3929887284598355,0.0175,0.3913382589817047,0.048216305673122406,2.8711035421746367e-05
17,4.387485076971306,0.017625000000000002,0.3881347179412842,0.048476457595825195,2.3208660251050158e-05
18,4.3829808917219095,0.01825,0.3907780051231384,0.04854843392968178,1.8128800512565513e-05
19,4.381156702412566,0.018125,0.3896420896053314,0.048520974814891815,1.3551568628929434e-05
20,4.376415203027474,0.017750000000000002,0.38875502347946167,0.04859655350446701,9.549150281252633e-06
21,4.37606803386693,0.017875,0.3890193998813629,0.04858080670237541,6.184665997806832e-06
