epoch,lr,train_loss,train_loss_r2p,train_loss_p2r,val_R1_r2p,val_R5_r2p,val_R10_r2p,val_R50_r2p,val_MedR_r2p,val_R1_p2r,val_R5_p2r,val_R10_p2r,val_R50_p2r,val_MedR_p2r,val_R5_mean,std_rna,std_prot,intra_cos_rna,intra_cos_prot,pos_cos
1,9.990133642141359e-05,4.9553656941137945,4.967252269009043,4.9434790708086815,0.000825445740699978,0.006933744221879815,0.012491745542593,0.050957517059211976,1386.0,0.001100594320933304,0.005833149900946511,0.011171032357473035,0.04523442659035879,1547.0,0.006383447061413163,0.057653866708278656,0.05290984362363815,0.11497937887907028,0.2591150999069214,0.352745920419693
2,9.96057350657239e-05,4.415723926524826,4.423395824916471,4.408052030553672,0.002146158925819943,0.009960378604446402,0.01788465771516619,0.06526524323134493,1107.0,0.0018159806295399517,0.007539071098393133,0.014527845036319613,0.054589478318291876,1333.0,0.008749724851419767,0.0582217201590538,0.05410737544298172,0.10549745708703995,0.22824083268642426,0.40146735310554504
3,9.911436253643445e-05,4.236181234950341,4.241542903299864,4.230819576282792,0.002256218357913273,0.010950913493286375,0.020911292097732775,0.0729143737618314,1002.5,0.002146158925819943,0.007924279110719789,0.015353290777019591,0.0575610829848118,1258.0,0.009437596302003082,0.05859223008155823,0.054297368973493576,0.09606213867664337,0.22261877357959747,0.41893941164016724
4,9.842915805643155e-05,4.12593071593851,4.129138965897148,4.122722465979871,0.0026414263702399295,0.011776359233986353,0.02168170812238609,0.07643627558881796,929.0,0.0023112480739599386,0.008639665419326436,0.01694915254237288,0.061908430552498346,1205.0,0.010208012326656395,0.058461301028728485,0.05456677824258804,0.09950628131628036,0.21382808685302734,0.435822069644928
5,9.755282581475769e-05,4.052665619680724,4.0540206892236235,4.05131052714314,0.002696456086286595,0.012876953554919657,0.022672243011226063,0.08105877173673784,871.0,0.002531366938146599,0.00952014087607308,0.01810477657935285,0.06410961919436496,1154.0,0.011198547215496369,0.058552928268909454,0.05459892004728317,0.09769143164157867,0.21207167208194733,0.4376544952392578
6,9.648882429441257e-05,3.9932988754988927,3.9934598080397863,3.9931379574809585,0.0034118423948932422,0.014032577591899626,0.024213075060532687,0.0847457627118644,853.0,0.0023112480739599386,0.010840854061193044,0.019535549196566145,0.06823684789786484,1111.0,0.012436715826546336,0.058514997363090515,0.05484764277935028,0.10002857446670532,0.20439030230045319,0.45244261622428894
7,9.524135262330098e-05,3.945271297154693,3.943817240332589,3.946725370920249,0.0033568126788465773,0.01408760730794629,0.02569887739379265,0.08733215936605768,829.0,0.002696456086286595,0.010840854061193044,0.01986572749284614,0.06845696676205151,1094.0,0.012464230684569668,0.05869070813059807,0.05485464632511139,0.09549661725759506,0.20328956842422485,0.45224952697753906
8,9.381533400219318e-05,3.904284601889286,3.903120255107202,3.9054489317279177,0.003026634382566586,0.014527845036319613,0.0262491745542593,0.08953334800792428,801.0,0.002586396654193264,0.011226062073519701,0.020581113801452784,0.07230904688531807,1049.5,0.012876953554919657,0.05879878252744675,0.05506736785173416,0.09252694994211197,0.19761693477630615,0.45850297808647156
9,9.221639627510076e-05,3.8701190428080294,3.867859823449614,3.8723782621664444,0.0034668721109399076,0.015628439357252916,0.027239709443099273,0.09030376403257759,803.0,0.002256218357913273,0.012051507814219679,0.021956856702619414,0.07423508694695136,1044.0,0.013839973585736298,0.05898888409137726,0.054962050169706345,0.08642398566007614,0.19992369413375854,0.46366453170776367
10,9.045084971874738e-05,3.8378598339061445,3.835202329654984,3.840517353890511,0.0036319612590799033,0.01568346907329958,0.028010125467752587,0.09189962579793089,797.0,0.0028065155183799252,0.011776359233986353,0.0211864406779661,0.07318952234206472,1042.5,0.013729914153642966,0.058854591101408005,0.05486968904733658,0.09133093059062958,0.2024509459733963,0.4543093144893646
11,8.852566213878947e-05,3.8107546319816317,3.8073707740318956,3.814138477828902,0.0037970504072198986,0.01705921197446621,0.029330838652872553,0.0948712304644508,771.0,0.002586396654193264,0.012546775258639665,0.02190182698657275,0.07709663218137794,1017.5,0.014802993616552938,0.05890936404466629,0.05495678633451462,0.0888863280415535,0.1996009200811386,0.4623776376247406
12,8.644843137107059e-05,3.789983414151342,3.7863005042681235,3.793666326455053,0.00401716927140656,0.016563944530046226,0.029275808936825885,0.0948712304644508,764.0,0.002531366938146599,0.012051507814219679,0.021406559542152762,0.07660136473695796,1016.0,0.014307726172132954,0.05919963866472244,0.054814718663692474,0.08175946772098541,0.20347195863723755,0.45399010181427
13,8.422735529643444e-05,3.7642660891344097,3.7604937275049046,3.7680384531844084,0.004182258419546555,0.01777459828307286,0.029495927801012546,0.09679727052608408,759.0,0.00275148580233326,0.0137574290116663,0.023167510455646047,0.08078362315650452,982.0,0.01576601364736958,0.05893251299858093,0.05495060980319977,0.09000659734010696,0.19973450899124146,0.46153926849365234
14,8.18711994874345e-05,3.7489801264051255,3.74504660349812,3.7529136505223772,0.004402377283733216,0.01766453885097953,0.029275808936825885,0.10004402377283733,751.0,0.002971604666519921,0.013097072419106317,0.022727272727272728,0.08314990094651112,965.5,0.015380805635042924,0.05896763503551483,0.05493457242846489,0.08891086280345917,0.20034445822238922,0.46612247824668884
15,7.938926261462366e-05,3.729973719204743,3.725680011178031,3.734267423600715,0.00401716927140656,0.017554479418886198,0.029716046665199208,0.09982390490865067,736.0,0.00275148580233326,0.012987012987012988,0.02327756988773938,0.0823794849218578,970.0,0.015270746202949593,0.059211231768131256,0.05495486035943031,0.08216536790132523,0.19977688789367676,0.4636068642139435
16,7.679133974894983e-05,3.71109508620906,3.706495320131331,3.715694858338022,0.004182258419546555,0.018269865727492847,0.031587057010785825,0.10285053929121726,725.0,0.003301782962799912,0.013317191283292978,0.023882896764252697,0.0860114461809377,934.5,0.015793528505392913,0.058932047337293625,0.05504019185900688,0.09107376635074615,0.197547048330307,0.4618586599826813
17,7.408768370508576e-05,3.6927768457964594,3.688311331163203,3.697242361639962,0.004292317851639886,0.017609509134932862,0.031311908430552496,0.1027955095751706,722.0,0.0034668721109399076,0.013647369579572969,0.024983491085186,0.08705701078582434,917.0,0.015628439357252916,0.0589214526116848,0.055120762437582016,0.0926891565322876,0.19539834558963776,0.475522518157959
